id,game_id,interrogator_id,witness_id,label
254229,127146,134967,260344,B
254230,127146,134967,260343,A
254233,127148,134969,260348,A
254234,127148,134969,260347,B
254237,127150,134971,260352,A
254238,127150,134971,260351,B
254241,127152,134973,260356,A
254242,127152,134973,260355,B
254245,127154,134975,260360,B
254246,127154,134975,260359,A
254247,127155,134976,260362,B
254248,127155,134976,260361,A
254255,127159,134980,260370,A
254256,127159,134980,260369,B
254289,127176,134997,260404,A
254290,127176,134997,260403,B
254293,127178,134999,260408,A
254294,127178,134999,260407,B
254297,127180,135001,260412,A
254298,127180,135001,260411,B
254309,127186,135007,260424,A
254310,127186,135007,260423,B
254311,127187,135008,260426,B
254312,127187,135008,260425,A
254321,127192,135013,260436,A
254322,127192,135013,260435,B
254325,127194,135015,260440,B
254326,127194,135015,260439,A
254333,127198,135019,260448,A
254334,127198,135019,260447,B
254337,127200,135021,260452,B
254338,127200,135021,260451,A
254339,127201,135022,260454,A
254340,127201,135022,260453,B
254341,127202,135023,260456,B
254342,127202,135023,260455,A
254351,127207,135028,260466,B
254352,127207,135028,260465,A
254355,127209,135030,260470,B
254356,127209,135030,260469,A
254359,127211,135032,260474,A
254360,127211,135032,260473,B
254361,127212,135033,260476,A
254362,127212,135033,260475,B
254363,127213,135034,260478,A
254364,127213,135034,260477,B
254365,127214,135035,260480,B
254366,127214,135035,260479,A
254375,127219,135040,260490,B
254376,127219,135040,260489,A
254377,127220,135041,260492,A
254378,127220,135041,260491,B
254379,127221,135042,260494,B
254380,127221,135042,260493,A
254383,127223,135044,260498,A
254384,127223,135044,260497,B
254387,127225,135046,260502,A
254388,127225,135046,260501,B
254389,127226,135047,260504,A
254390,127226,135047,260503,B
254393,127228,135049,260508,B
254394,127228,135049,260507,A
254395,127229,135050,260510,A
254396,127229,135050,260509,B
254397,127230,135051,260512,A
254398,127230,135051,260511,B
254405,127234,135055,260520,B
254406,127234,135055,260519,A
254407,127235,135056,260522,A
254408,127235,135056,260521,B
254411,127237,135058,260526,A
254412,127237,135058,260525,B
254413,127238,135059,260528,A
254414,127238,135059,260527,B
254415,127239,135060,260530,A
254416,127239,135060,260529,B
254421,127242,135063,260536,A
254422,127242,135063,260535,B
254425,127244,135065,260540,B
254426,127244,135065,260539,A
254431,127247,135068,260546,B
254432,127247,135068,260545,A
254433,127248,135069,260548,B
254434,127248,135069,260547,A
254435,127249,135070,260550,A
254436,127249,135070,260549,B
254441,127252,135073,260556,B
254442,127252,135073,260555,A
254443,127253,135074,260558,A
254444,127253,135074,260557,B
254447,127255,135076,260562,B
254448,127255,135076,260561,A
254451,127257,135078,260566,A
254452,127257,135078,260565,B
254453,127258,135079,260568,A
254454,127258,135079,260567,B
254465,127264,135085,260580,A
254466,127264,135085,260579,B
254469,127266,135087,260584,A
254470,127266,135087,260583,B
254473,127268,135089,260588,A
254474,127268,135089,260587,B
254475,127269,135090,260590,A
254476,127269,135090,260589,B
254479,127271,135092,260594,A
254480,127271,135092,260593,B
254481,127272,135093,260596,B
254482,127272,135093,260595,A
254483,127273,135094,260598,B
254484,127273,135094,260597,A
254485,127274,135095,260600,B
254486,127274,135095,260599,A
254493,127278,135099,260608,A
254494,127278,135099,260607,B
254499,127281,135102,260614,A
254500,127281,135102,260613,B
254501,127282,135103,260616,A
254502,127282,135103,260615,B
254503,127283,135104,260618,B
254504,127283,135104,260617,A
254509,127286,135107,260624,A
254510,127286,135107,260623,B
254511,127287,135108,260626,B
254512,127287,135108,260625,A
254515,127289,135110,260630,A
254516,127289,135110,260629,B
254519,127291,135112,260634,A
254520,127291,135112,260633,B
254523,127293,135114,260638,A
254524,127293,135114,260637,B
254533,127298,135119,260648,A
254534,127298,135119,260647,B
254535,127299,135120,260650,A
254536,127299,135120,260649,B
254537,127300,135121,260652,B
254538,127300,135121,260651,A
254539,127301,135122,260654,A
254540,127301,135122,260653,B
254541,127302,135123,260656,B
254542,127302,135123,260655,A
254543,127303,135124,260658,A
254544,127303,135124,260657,B
254545,127304,135125,260660,A
254546,127304,135125,260659,B
254547,127305,135126,260662,B
254548,127305,135126,260661,A
254561,127312,135133,260676,B
254562,127312,135133,260675,A
254563,127313,135134,260678,A
254564,127313,135134,260677,B
254565,127314,135135,260680,A
254566,127314,135135,260679,B
254567,127315,135136,260682,A
254568,127315,135136,260681,B
254573,127318,135139,260688,B
254574,127318,135139,260687,A
254577,127320,135141,260692,B
254578,127320,135141,260691,A
254581,127322,135143,260696,B
254582,127322,135143,260695,A
254583,127323,135144,260698,B
254584,127323,135144,260697,A
254591,127327,135148,260706,A
254592,127327,135148,260705,B
254593,127328,135149,260708,A
254594,127328,135149,260707,B
254599,127331,135152,260714,A
254600,127331,135152,260713,B
254601,127332,135153,260716,B
254602,127332,135153,260715,A
254603,127333,135154,260718,A
254604,127333,135154,260717,B
254607,127335,135156,260722,A
254608,127335,135156,260721,B
254615,127339,135160,260730,A
254616,127339,135160,260729,B
254617,127340,135161,260732,A
254618,127340,135161,260731,B
254621,127342,135163,260736,A
254622,127342,135163,260735,B
254623,127343,135164,260738,A
254624,127343,135164,260737,B
254625,127344,135165,260740,B
254626,127344,135165,260739,A
254629,127346,135167,260744,B
254630,127346,135167,260743,A
254633,127348,135169,260748,A
254634,127348,135169,260747,B
254637,127350,135171,260752,A
254638,127350,135171,260751,B
254643,127353,135174,260758,A
254644,127353,135174,260757,B
254649,127356,135177,260764,B
254650,127356,135177,260763,A
254651,127357,135178,260766,B
254652,127357,135178,260765,A
254653,127358,135179,260768,A
254654,127358,135179,260767,B
254655,127359,135180,260770,B
254656,127359,135180,260769,A
254659,127361,135182,260774,B
254660,127361,135182,260773,A
254661,127362,135183,260776,A
254662,127362,135183,260775,B
254665,127364,135185,260780,A
254666,127364,135185,260779,B
254667,127365,135186,260782,B
254668,127365,135186,260781,A
254669,127366,135187,260784,B
254670,127366,135187,260783,A
254671,127367,135188,260786,A
254672,127367,135188,260785,B
254675,127369,135190,260790,B
254676,127369,135190,260789,A
254679,127371,135192,260794,A
254680,127371,135192,260793,B
254683,127373,135194,260798,A
254684,127373,135194,260797,B
254685,127374,135195,260800,B
254686,127374,135195,260799,A
254691,127377,135198,260806,B
254692,127377,135198,260805,A
254693,127378,135199,260808,A
254694,127378,135199,260807,B
254699,127381,135202,260814,A
254700,127381,135202,260813,B
254701,127382,135203,260816,B
254702,127382,135203,260815,A
254707,127385,135206,260822,B
254708,127385,135206,260821,A
254709,127386,135207,260824,B
254710,127386,135207,260823,A
254715,127389,135210,260830,B
254716,127389,135210,260829,A
254719,127391,135212,260834,A
254720,127391,135212,260833,B
254721,127392,135213,260836,A
254722,127392,135213,260835,B
254723,127393,135214,260838,B
254724,127393,135214,260837,A
254725,127394,135215,260840,B
254726,127394,135215,260839,A
254727,127395,135216,260842,B
254728,127395,135216,260841,A
254729,127396,135217,260844,B
254730,127396,135217,260843,A
254731,127397,135218,260846,B
254732,127397,135218,260845,A
254733,127398,135219,260848,B
254734,127398,135219,260847,A
254737,127400,135221,260852,B
254738,127400,135221,260851,A
254741,127402,135223,260856,B
254742,127402,135223,260855,A
254743,127403,135224,260858,A
254744,127403,135224,260857,B
254745,127404,135225,260860,A
254746,127404,135225,260859,B
254747,127405,135226,260862,A
254748,127405,135226,260861,B
254751,127407,135228,260866,B
254752,127407,135228,260865,A
254755,127409,135230,260870,A
254756,127409,135230,260869,B
254757,127410,135231,260872,B
254758,127410,135231,260871,A
254763,127413,135234,260878,A
254764,127413,135234,260877,B
254765,127414,135235,260880,B
254766,127414,135235,260879,A
254767,127415,135236,260882,A
254768,127415,135236,260881,B
254769,127416,135237,260884,B
254770,127416,135237,260883,A
254771,127417,135238,260886,B
254772,127417,135238,260885,A
254773,127418,135239,260888,A
254774,127418,135239,260887,B
254775,127419,135240,260890,A
254776,127419,135240,260889,B
254777,127420,135241,260892,A
254778,127420,135241,260891,B
254781,127422,135243,260896,B
254782,127422,135243,260895,A
254783,127423,135244,260898,A
254784,127423,135244,260897,B
254785,127424,135245,260900,B
254786,127424,135245,260899,A
254787,127425,135246,260902,A
254788,127425,135246,260901,B
254789,127426,135247,260904,B
254790,127426,135247,260903,A
254795,127429,135250,260910,A
254796,127429,135250,260909,B
254797,127430,135251,260912,A
254798,127430,135251,260911,B
254799,127431,135252,260914,A
254800,127431,135252,260913,B
254801,127432,135253,260916,B
254802,127432,135253,260915,A
254805,127434,135255,260920,B
254806,127434,135255,260919,A
254807,127435,135256,260922,A
254808,127435,135256,260921,B
254809,127436,135257,260924,B
254810,127436,135257,260923,A
254811,127437,135258,260926,B
254812,127437,135258,260925,A
254813,127438,135259,260928,B
254814,127438,135259,260927,A
254815,127439,135260,260930,B
254816,127439,135260,260929,A
254819,127441,135262,260934,A
254820,127441,135262,260933,B
254821,127442,135263,260936,B
254822,127442,135263,260935,A
254823,127443,135264,260938,A
254824,127443,135264,260937,B
254825,127444,135265,260940,A
254826,127444,135265,260939,B
254827,127445,135266,260942,A
254828,127445,135266,260941,B
254831,127447,135268,260946,A
254832,127447,135268,260945,B
254833,127448,135269,260948,A
254834,127448,135269,260947,B
254835,127449,135270,260950,B
254836,127449,135270,260949,A
254837,127450,135271,260952,A
254838,127450,135271,260951,B
254839,127451,135272,260954,A
254840,127451,135272,260953,B
254841,127452,135273,260956,B
254842,127452,135273,260955,A
254863,127463,135284,260978,A
254864,127463,135284,260977,B
254873,127468,135289,260988,A
254874,127468,135289,260987,B
254899,127481,135302,261014,B
254900,127481,135302,261013,A
254927,127495,135316,261042,A
254928,127495,135316,261041,B
254933,127498,135319,261048,A
254934,127498,135319,261047,B
254935,127499,135320,261050,A
254936,127499,135320,261049,B
254947,127505,135326,261062,B
254948,127505,135326,261061,A
254949,127506,135327,261064,B
254950,127506,135327,261063,A
254951,127507,135328,261066,A
254952,127507,135328,261065,B
254953,127508,135329,261068,A
254954,127508,135329,261067,B
254955,127509,135330,261070,A
254956,127509,135330,261069,B
254959,127511,135332,261074,A
254960,127511,135332,261073,B
254963,127513,135334,261078,B
254964,127513,135334,261077,A
254967,127515,135336,261082,A
254968,127515,135336,261081,B
254973,127518,135339,261088,A
254974,127518,135339,261087,B
254975,127519,135340,261090,B
254976,127519,135340,261089,A
254979,127521,135342,261094,A
254980,127521,135342,261093,B
254981,127522,135343,261096,A
254982,127522,135343,261095,B
254983,127523,135344,261098,B
254984,127523,135344,261097,A
254987,127525,135346,261102,B
254988,127525,135346,261101,A
254991,127527,135348,261106,A
254992,127527,135348,261105,B
254993,127528,135349,261108,A
254994,127528,135349,261107,B
254995,127529,135350,261110,B
254996,127529,135350,261109,A
254999,127531,135352,261114,A
255000,127531,135352,261113,B
255001,127532,135353,261116,B
255002,127532,135353,261115,A
255003,127533,135354,261118,B
255004,127533,135354,261117,A
255005,127534,135355,261120,A
255006,127534,135355,261119,B
255007,127535,135356,261122,B
255008,127535,135356,261121,A
255009,127536,135357,261124,A
255010,127536,135357,261123,B
255011,127537,135358,261126,B
255012,127537,135358,261125,A
255013,127538,135359,261128,B
255014,127538,135359,261127,A
255017,127540,135361,261132,B
255018,127540,135361,261131,A
255019,127541,135362,261134,B
255020,127541,135362,261133,A
255025,127544,135365,261140,B
255026,127544,135365,261139,A
255031,127547,135368,261146,A
255032,127547,135368,261145,B
255039,127551,135372,261154,A
255040,127551,135372,261153,B
255043,127553,135374,261158,B
255044,127553,135374,261157,A
255045,127554,135375,261160,A
255046,127554,135375,261159,B
255047,127555,135376,261162,A
255048,127555,135376,261161,B
255051,127557,135378,261166,A
255052,127557,135378,261165,B
255053,127558,135379,261168,A
255054,127558,135379,261167,B
255063,127563,135384,261178,A
255064,127563,135384,261177,B
255065,127564,135385,261180,A
255066,127564,135385,261179,B
255069,127566,135387,261184,A
255070,127566,135387,261183,B
255071,127567,135388,261186,A
255072,127567,135388,261185,B
255075,127569,135390,261190,B
255076,127569,135390,261189,A
