"id","interrogator_id","human_witness_id","ai_witness_id","status","created_at","finished_at","verdict_at","last_updated","is_test"
1700,1700,3385,3386,"verdict","2025-03-06T17:55:47Z","2025-03-06T18:00:48Z","2025-03-06T18:00:54Z","2025-03-06T18:00:54Z",FALSE
1701,1701,3387,3388,"verdict","2025-03-06T17:59:10Z","2025-03-06T18:00:29Z","2025-03-06T18:00:29Z","2025-03-06T18:00:29Z",FALSE
1702,1702,3389,3390,"verdict","2025-03-06T17:59:33Z","2025-03-06T18:01:20Z","2025-03-06T18:01:21Z","2025-03-06T18:01:21Z",FALSE
1703,1703,3391,3392,"verdict","2025-03-06T18:00:07Z","2025-03-06T18:02:37Z","2025-03-06T18:02:37Z","2025-03-06T18:02:37Z",FALSE
1704,1704,3393,3394,"verdict","2025-03-06T18:01:00Z","2025-03-06T18:02:16Z","2025-03-06T18:02:17Z","2025-03-06T18:02:17Z",FALSE
1705,1705,3395,3396,"verdict","2025-03-06T18:01:25Z","2025-03-06T18:04:24Z","2025-03-06T18:04:24Z","2025-03-06T18:04:24Z",FALSE
1706,1706,3397,3398,"verdict","2025-03-06T18:01:25Z","2025-03-06T18:06:26Z","2025-03-06T18:07:11Z","2025-03-06T18:07:11Z",FALSE
1707,1707,3399,3400,"verdict","2025-03-06T18:01:49Z","2025-03-06T18:05:26Z","2025-03-06T18:05:26Z","2025-03-06T18:05:26Z",FALSE
1708,1708,3401,3402,"verdict","2025-03-06T18:02:41Z","2025-03-06T18:03:56Z","2025-03-06T18:03:56Z","2025-03-06T18:03:56Z",FALSE
1709,1709,3403,3404,"verdict","2025-03-06T18:03:00Z","2025-03-06T18:05:52Z","2025-03-06T18:05:52Z","2025-03-06T18:05:52Z",FALSE
1710,1710,3405,3406,"verdict","2025-03-06T18:04:28Z","2025-03-06T18:06:05Z","2025-03-06T18:06:05Z","2025-03-06T18:06:05Z",FALSE
1713,1713,3411,3412,"verdict","2025-03-06T18:05:58Z","2025-03-06T18:08:22Z","2025-03-06T18:08:22Z","2025-03-06T18:08:22Z",FALSE
1714,1714,3413,3414,"verdict","2025-03-06T18:06:08Z","2025-03-06T18:08:55Z","2025-03-06T18:08:55Z","2025-03-06T18:08:55Z",FALSE
1715,1715,3415,3416,"verdict","2025-03-06T18:06:10Z","2025-03-06T18:10:45Z","2025-03-06T18:10:45Z","2025-03-06T18:10:45Z",FALSE
1716,1716,3417,3418,"verdict","2025-03-06T18:07:12Z","2025-03-06T18:09:01Z","2025-03-06T18:09:03Z","2025-03-06T18:09:03Z",FALSE
1717,1717,3419,3420,"verdict","2025-03-06T18:08:25Z","2025-03-06T18:08:59Z","2025-03-06T18:08:59Z","2025-03-06T18:08:59Z",FALSE
1718,1718,3421,3422,"verdict","2025-03-06T18:08:27Z","2025-03-06T18:12:57Z","2025-03-06T18:12:58Z","2025-03-06T18:12:58Z",FALSE
1719,1719,3423,3424,"verdict","2025-03-06T18:09:05Z","2025-03-06T18:14:06Z","2025-03-06T18:14:44Z","2025-03-06T18:14:44Z",FALSE
1720,1720,3425,3426,"verdict","2025-03-06T18:09:07Z","2025-03-06T18:10:04Z","2025-03-06T18:10:05Z","2025-03-06T18:10:05Z",FALSE
1721,1721,3427,3428,"verdict","2025-03-06T18:09:10Z","2025-03-06T18:13:57Z","2025-03-06T18:13:57Z","2025-03-06T18:13:57Z",FALSE
1722,1722,3429,3430,"verdict","2025-03-06T18:10:49Z","2025-03-06T18:15:49Z","2025-03-06T18:16:03Z","2025-03-06T18:16:03Z",FALSE
1725,1725,3435,3436,"verdict","2025-03-06T18:14:02Z","2025-03-06T18:19:03Z","2025-03-06T18:19:39Z","2025-03-06T18:19:39Z",FALSE
1726,1726,3437,3438,"verdict","2025-03-06T18:14:02Z","2025-03-06T18:19:03Z","2025-03-06T18:19:16Z","2025-03-06T18:19:16Z",FALSE
1727,1727,3439,3440,"verdict","2025-03-06T18:14:35Z","2025-03-06T18:18:42Z","2025-03-06T18:18:44Z","2025-03-06T18:18:44Z",FALSE
1729,1729,3443,3444,"verdict","2025-03-06T18:16:07Z","2025-03-06T18:21:08Z","2025-03-06T18:21:50Z","2025-03-06T18:21:50Z",FALSE
1730,1730,3445,3446,"verdict","2025-03-06T18:16:24Z","2025-03-06T18:17:41Z","2025-03-06T18:17:42Z","2025-03-06T18:17:42Z",FALSE
1731,1731,3447,3448,"verdict","2025-03-06T18:16:42Z","2025-03-06T18:21:42Z","2025-03-06T18:22:41Z","2025-03-06T18:22:41Z",FALSE
1732,1732,3449,3450,"verdict","2025-03-06T18:18:48Z","2025-03-06T18:21:37Z","2025-03-06T18:21:37Z","2025-03-06T18:21:37Z",FALSE
1733,1733,3451,3452,"verdict","2025-03-06T18:19:18Z","2025-03-06T18:24:18Z","2025-03-06T18:24:22Z","2025-03-06T18:24:22Z",FALSE
1735,1735,3455,3456,"verdict","2025-03-06T18:21:41Z","2025-03-06T18:24:35Z","2025-03-06T18:24:35Z","2025-03-06T18:24:35Z",FALSE
1736,1736,3457,3458,"verdict","2025-03-06T18:21:54Z","2025-03-06T18:26:54Z","2025-03-06T18:26:59Z","2025-03-06T18:26:59Z",FALSE
1737,1737,3459,3460,"verdict","2025-03-06T18:22:47Z","2025-03-06T18:27:48Z","2025-03-06T18:28:15Z","2025-03-06T18:28:15Z",FALSE
1738,1738,3461,3462,"verdict","2025-03-06T18:24:28Z","2025-03-06T18:25:50Z","2025-03-06T18:25:51Z","2025-03-06T18:25:51Z",FALSE
1739,1739,3463,3464,"verdict","2025-03-06T18:24:41Z","2025-03-06T18:29:41Z","2025-03-06T18:30:21Z","2025-03-06T18:30:21Z",FALSE
1740,1740,3465,3466,"verdict","2025-03-06T18:25:27Z","2025-03-06T18:28:10Z","2025-03-06T18:28:10Z","2025-03-06T18:28:10Z",FALSE
1741,1741,3467,3468,"verdict","2025-03-06T18:27:04Z","2025-03-06T18:29:10Z","2025-03-06T18:29:10Z","2025-03-06T18:29:10Z",FALSE
1742,1742,3469,3470,"verdict","2025-03-06T18:27:05Z","2025-03-06T18:32:05Z","2025-03-06T18:32:58Z","2025-03-06T18:32:58Z",FALSE
1743,1743,3471,3472,"verdict","2025-03-06T18:28:19Z","2025-03-06T18:33:19Z","2025-03-06T18:33:25Z","2025-03-06T18:33:25Z",FALSE
1744,1744,3473,3474,"verdict","2025-03-06T18:28:20Z","2025-03-06T18:31:04Z","2025-03-06T18:31:04Z","2025-03-06T18:31:04Z",FALSE
1745,1745,3475,3476,"verdict","2025-03-06T18:30:29Z","2025-03-06T18:34:34Z","2025-03-06T18:34:34Z","2025-03-06T18:34:34Z",FALSE
1746,1746,3477,3478,"verdict","2025-03-06T18:31:11Z","2025-03-06T18:36:11Z","2025-03-06T18:36:33Z","2025-03-06T18:36:33Z",FALSE
1747,1747,3479,3480,"verdict","2025-03-06T18:32:53Z","2025-03-06T18:37:53Z","2025-03-06T18:38:20Z","2025-03-06T18:38:20Z",FALSE
1748,1748,3481,3482,"verdict","2025-03-06T18:34:39Z","2025-03-06T18:39:39Z","2025-03-06T18:40:16Z","2025-03-06T18:40:16Z",FALSE
1750,1750,3484,3485,"verdict","2025-03-06T18:36:39Z","2025-03-06T18:41:39Z","2025-03-06T18:41:57Z","2025-03-06T18:41:57Z",FALSE
1751,1751,3486,3487,"verdict","2025-03-06T21:56:13Z","2025-03-06T21:59:08Z","2025-03-06T21:59:08Z","2025-03-06T21:59:08Z",FALSE
1752,1752,3488,3489,"verdict","2025-03-06T21:58:16Z","2025-03-06T22:03:17Z","2025-03-06T22:03:45Z","2025-03-06T22:03:45Z",FALSE
1754,1754,3492,3493,"verdict","2025-03-06T21:59:21Z","2025-03-06T22:03:59Z","2025-03-06T22:03:59Z","2025-03-06T22:03:59Z",FALSE
1755,1755,3494,3495,"verdict","2025-03-06T22:00:28Z","2025-03-06T22:05:28Z","2025-03-06T22:05:58Z","2025-03-06T22:05:58Z",FALSE
1756,1756,3496,3497,"verdict","2025-03-06T22:03:50Z","2025-03-06T22:05:21Z","2025-03-06T22:05:21Z","2025-03-06T22:05:21Z",FALSE
1757,1757,3498,3499,"verdict","2025-03-06T22:04:04Z","2025-03-06T22:09:04Z","2025-03-06T22:09:14Z","2025-03-06T22:09:14Z",FALSE
1758,1758,3500,3501,"verdict","2025-03-06T22:05:03Z","2025-03-06T22:10:04Z","2025-03-06T22:10:41Z","2025-03-06T22:10:41Z",FALSE
1759,1759,3502,3503,"verdict","2025-03-06T22:06:03Z","2025-03-06T22:11:04Z","2025-03-06T22:11:06Z","2025-03-06T22:11:06Z",FALSE
1760,1760,3504,3505,"verdict","2025-03-06T22:06:04Z","2025-03-06T22:11:04Z","2025-03-06T22:11:25Z","2025-03-06T22:11:25Z",FALSE
1761,1761,3506,3507,"verdict","2025-03-06T22:10:44Z","2025-03-06T22:15:18Z","2025-03-06T22:15:19Z","2025-03-06T22:15:19Z",FALSE
1762,1762,3508,3509,"verdict","2025-03-06T22:11:11Z","2025-03-06T22:15:58Z","2025-03-06T22:15:58Z","2025-03-06T22:15:58Z",FALSE
1763,1763,3510,3511,"verdict","2025-03-06T22:11:17Z","2025-03-06T22:15:24Z","2025-03-06T22:15:25Z","2025-03-06T22:15:25Z",FALSE
1764,1764,3512,3513,"verdict","2025-03-06T22:15:22Z","2025-03-06T22:18:49Z","2025-03-06T22:18:49Z","2025-03-06T22:18:49Z",FALSE
1765,1765,3514,3515,"verdict","2025-03-06T22:15:26Z","2025-03-06T22:20:26Z","2025-03-06T22:20:38Z","2025-03-06T22:20:38Z",FALSE
1766,1766,3516,3517,"verdict","2025-03-06T22:16:02Z","2025-03-06T22:19:37Z","2025-03-06T22:19:37Z","2025-03-06T22:19:37Z",FALSE
1767,1767,3518,3519,"verdict","2025-03-06T22:16:03Z","2025-03-06T22:21:03Z","2025-03-06T22:22:16Z","2025-03-06T22:22:16Z",FALSE
1768,1768,3520,3521,"verdict","2025-03-06T22:19:40Z","2025-03-06T22:24:40Z","2025-03-06T22:24:56Z","2025-03-06T22:24:56Z",FALSE
1769,1769,3522,3523,"verdict","2025-03-06T22:19:43Z","2025-03-06T22:24:43Z","2025-03-06T22:26:09Z","2025-03-06T22:26:09Z",FALSE
1770,1770,3524,3525,"verdict","2025-03-06T22:21:49Z","2025-03-06T22:26:16Z","2025-03-06T22:26:17Z","2025-03-06T22:26:17Z",FALSE
