id,interrogator_id,human_witness_id,ai_witness_id,status,created_at,finished_at,verdict_at,last_updated,is_test
127146,134967,260343.0,260344,verdict,2026-01-13T18:46:59Z,2026-01-13T19:01:59Z,2026-01-13T19:03:04Z,2026-01-13T19:03:04Z,False
127148,134969,260347.0,260348,verdict,2026-01-13T18:47:50Z,2026-01-13T19:02:50Z,2026-01-13T19:03:58Z,2026-01-13T19:03:58Z,False
127150,134971,260351.0,260352,verdict,2026-01-13T18:48:41Z,2026-01-13T19:03:42Z,2026-01-13T19:04:27Z,2026-01-13T19:04:27Z,False
127152,134973,260355.0,260356,verdict,2026-01-13T18:49:21Z,2026-01-13T19:04:21Z,2026-01-13T19:05:22Z,2026-01-13T19:05:22Z,False
127154,134975,260359.0,260360,verdict,2026-01-13T18:49:50Z,2026-01-13T19:04:50Z,2026-01-13T19:05:28Z,2026-01-13T19:05:28Z,False
127155,134976,260361.0,260362,verdict,2026-01-13T18:49:59Z,2026-01-13T19:05:00Z,2026-01-13T19:05:48Z,2026-01-13T19:05:48Z,False
127159,134980,260369.0,260370,verdict,2026-01-13T18:54:03Z,2026-01-13T19:09:03Z,2026-01-13T19:09:34Z,2026-01-13T19:09:34Z,False
127176,134997,260403.0,260404,verdict,2026-01-13T19:04:34Z,2026-01-13T19:19:34Z,2026-01-13T19:20:02Z,2026-01-13T19:20:02Z,False
127178,134999,260407.0,260408,verdict,2026-01-13T19:04:42Z,2026-01-13T19:19:42Z,2026-01-13T19:19:57Z,2026-01-13T19:19:57Z,False
127180,135001,260411.0,260412,verdict,2026-01-13T19:05:38Z,2026-01-13T19:20:38Z,2026-01-13T19:21:09Z,2026-01-13T19:21:09Z,False
127186,135007,260423.0,260424,verdict,2026-01-13T19:09:39Z,2026-01-13T19:24:39Z,2026-01-13T19:25:09Z,2026-01-13T19:25:09Z,False
127187,135008,260425.0,260426,verdict,2026-01-13T19:09:43Z,2026-01-13T19:24:44Z,2026-01-13T19:25:11Z,2026-01-13T19:25:11Z,False
127192,135013,260435.0,260436,verdict,2026-01-13T19:20:11Z,2026-01-13T19:35:12Z,2026-01-13T19:36:00Z,2026-01-13T19:36:00Z,False
127194,135015,260439.0,260440,verdict,2026-01-13T19:20:20Z,2026-01-13T19:35:21Z,2026-01-13T19:35:41Z,2026-01-13T19:35:41Z,False
127198,135019,260447.0,260448,verdict,2026-01-13T19:21:32Z,2026-01-13T19:36:34Z,2026-01-13T19:38:36Z,2026-01-13T19:38:36Z,False
127200,135021,260451.0,260452,verdict,2026-01-13T19:25:01Z,2026-01-13T19:40:01Z,2026-01-13T19:40:46Z,2026-01-13T19:40:46Z,False
127201,135022,260453.0,260454,verdict,2026-01-13T19:25:30Z,2026-01-13T19:40:30Z,2026-01-13T19:42:09Z,2026-01-13T19:42:09Z,False
127202,135023,260455.0,260456,verdict,2026-01-13T19:26:02Z,2026-01-13T19:41:02Z,2026-01-13T19:41:52Z,2026-01-13T19:41:52Z,False
127207,135028,260465.0,260466,verdict,2026-01-13T19:36:12Z,2026-01-13T19:51:12Z,2026-01-13T19:51:38Z,2026-01-13T19:51:38Z,False
127209,135030,260469.0,260470,verdict,2026-01-13T19:36:34Z,2026-01-13T19:51:34Z,2026-01-13T19:52:02Z,2026-01-13T19:52:02Z,False
127211,135032,260473.0,260474,verdict,2026-01-13T19:40:51Z,2026-01-13T19:55:51Z,2026-01-13T19:56:55Z,2026-01-13T19:56:55Z,False
127212,135033,260475.0,260476,verdict,2026-01-13T19:41:32Z,2026-01-13T19:56:32Z,2026-01-13T19:56:58Z,2026-01-13T19:56:58Z,False
127213,135034,260477.0,260478,verdict,2026-01-13T19:42:01Z,2026-01-13T19:57:01Z,2026-01-13T19:58:12Z,2026-01-13T19:58:12Z,False
127214,135035,260479.0,260480,verdict,2026-01-13T19:42:03Z,2026-01-13T19:57:03Z,2026-01-13T19:57:33Z,2026-01-13T19:57:33Z,False
127219,135040,260489.0,260490,verdict,2026-01-13T19:52:10Z,2026-01-13T20:07:10Z,2026-01-13T20:08:07Z,2026-01-13T20:08:07Z,False
127220,135041,260491.0,260492,verdict,2026-01-13T19:52:12Z,2026-01-13T20:07:12Z,2026-01-13T20:08:02Z,2026-01-13T20:08:02Z,False
127221,135042,260493.0,260494,verdict,2026-01-13T19:52:27Z,2026-01-13T20:07:27Z,2026-01-13T20:07:49Z,2026-01-13T20:07:49Z,False
127223,135044,260497.0,260498,verdict,2026-01-13T19:52:58Z,2026-01-13T20:07:58Z,2026-01-13T20:09:15Z,2026-01-13T20:09:15Z,False
127225,135046,260501.0,260502,verdict,2026-01-13T19:53:36Z,2026-01-13T20:08:37Z,2026-01-13T20:09:10Z,2026-01-13T20:09:10Z,False
127226,135047,260503.0,260504,verdict,2026-01-13T19:53:46Z,2026-01-13T20:08:46Z,2026-01-13T20:09:49Z,2026-01-13T20:09:49Z,False
127228,135049,260507.0,260508,verdict,2026-01-13T19:54:11Z,2026-01-13T20:09:11Z,2026-01-13T20:10:03Z,2026-01-13T20:10:03Z,False
127229,135050,260509.0,260510,verdict,2026-01-13T19:54:40Z,2026-01-13T20:09:41Z,2026-01-13T20:10:31Z,2026-01-13T20:10:31Z,False
127230,135051,260511.0,260512,verdict,2026-01-13T19:54:48Z,2026-01-13T20:09:49Z,2026-01-13T20:10:33Z,2026-01-13T20:10:33Z,False
127234,135055,260519.0,260520,verdict,2026-01-13T19:56:26Z,2026-01-13T20:11:27Z,2026-01-13T20:12:14Z,2026-01-13T20:12:14Z,False
127235,135056,260521.0,260522,verdict,2026-01-13T19:56:55Z,2026-01-13T20:11:55Z,2026-01-13T20:12:53Z,2026-01-13T20:12:53Z,False
127237,135058,260525.0,260526,verdict,2026-01-13T19:58:21Z,2026-01-13T20:13:21Z,2026-01-13T20:13:57Z,2026-01-13T20:13:57Z,False
127238,135059,260527.0,260528,verdict,2026-01-13T19:59:08Z,2026-01-13T20:14:09Z,2026-01-13T20:15:44Z,2026-01-13T20:15:44Z,False
127239,135060,260529.0,260530,verdict,2026-01-13T19:59:59Z,2026-01-13T20:14:59Z,2026-01-13T20:15:27Z,2026-01-13T20:15:27Z,False
127242,135063,260535.0,260536,verdict,2026-01-13T20:01:35Z,2026-01-13T20:16:35Z,2026-01-13T20:17:58Z,2026-01-13T20:17:58Z,False
127244,135065,260539.0,260540,verdict,2026-01-13T20:02:11Z,2026-01-13T20:17:11Z,2026-01-13T20:18:08Z,2026-01-13T20:18:08Z,False
127247,135068,260545.0,260546,verdict,2026-01-13T20:06:33Z,2026-01-13T20:21:34Z,2026-01-13T20:22:12Z,2026-01-13T20:22:12Z,False
127248,135069,260547.0,260548,verdict,2026-01-13T20:08:07Z,2026-01-13T20:23:07Z,2026-01-13T20:24:15Z,2026-01-13T20:24:15Z,False
127249,135070,260549.0,260550,verdict,2026-01-13T20:08:17Z,2026-01-13T20:23:17Z,2026-01-13T20:23:41Z,2026-01-13T20:23:41Z,False
127252,135073,260555.0,260556,verdict,2026-01-13T20:09:20Z,2026-01-13T20:24:20Z,2026-01-13T20:24:49Z,2026-01-13T20:24:49Z,False
127253,135074,260557.0,260558,verdict,2026-01-13T20:09:25Z,2026-01-13T20:24:25Z,2026-01-13T20:25:05Z,2026-01-13T20:25:05Z,False
127255,135076,260561.0,260562,verdict,2026-01-13T20:10:17Z,2026-01-13T20:25:17Z,2026-01-13T20:26:17Z,2026-01-13T20:26:17Z,False
