id,user_id,lobby_wait_id
134967,109818,404275.0
134969,109821,404281.0
134971,109825,404284.0
134973,109828,404290.0
134975,109827,404292.0
134976,109832,404295.0
134980,109837,404299.0
134997,109824,404343.0
134999,109819,404346.0
135001,109827,404351.0
135007,109830,404365.0
135008,109834,404360.0
135013,109825,404391.0
135015,109822,404390.0
135019,109828,404403.0
135021,109826,404400.0
135022,109834,404410.0
135023,109837,404413.0
135028,109822,404436.0
135030,109824,404437.0
135032,109821,404448.0
135033,109830,404453.0
135034,109826,404449.0
135035,109819,404454.0
135040,109872,404470.0
135041,109818,404471.0
135042,109870,404474.0
135044,109875,404476.0
135046,109874,404483.0
135047,109879,404485.0
135049,109882,404489.0
135050,109891,404492.0
135051,109885,404494.0
135055,109890,404505.0
135056,109884,404507.0
135058,109899,404515.0
135059,109883,404516.0
135060,109901,404521.0
135063,109894,404524.0
135065,109900,404527.0
135068,109906,404535.0
135069,109873,404540.0
135070,109872,404544.0
135073,109880,404549.0
135074,109874,404550.0
135076,109879,404553.0
135078,109885,404557.0
135079,109888,404560.0
135085,109897,404567.0
135087,109915,404575.0
135089,109899,404579.0
135090,109878,404582.0
135092,109884,404587.0
135093,109890,404588.0
135094,109900,404592.0
135095,109905,404594.0
135099,109924,404602.0
135102,109871,404611.0
135103,109928,404614.0
135104,109873,404617.0
135107,109876,404621.0
135108,109887,404624.0
135110,109891,404629.0
135112,109877,404633.0
135114,109907,404638.0
135119,109895,404642.0
135120,109915,404650.0
135121,109881,404646.0
135122,109916,404653.0
135123,109878,404654.0
135124,109902,404661.0
135125,109894,404663.0
135126,109880,404665.0
135133,109924,404674.0
135134,109928,404683.0
135135,109876,404691.0
135136,109893,404684.0
135139,109870,404687.0
135141,109871,404690.0
135143,109875,404696.0
135144,109887,404697.0
135148,109888,404708.0
135149,109877,404709.0
135152,109897,404720.0
135153,109895,404719.0
135154,109881,404721.0
135156,109902,404730.0
135160,109904,404739.0
135161,109905,404731.0
135163,109906,404744.0
135164,109882,404750.0
135165,109907,404751.0
135167,109893,404753.0
135169,109883,404754.0
135171,109923,404768.0
135174,109916,404775.0
135177,109939,404796.0
135178,109923,404797.0
135179,109898,404801.0
135180,109904,404799.0
135182,109945,404808.0
135183,109942,404809.0
135185,109956,404814.0
135186,109957,404816.0
135187,109954,404817.0
135188,109963,404820.0
135190,109944,404824.0
135192,109970,404830.0
135194,109951,404833.0
135195,109972,404834.0
135198,109975,404842.0
